Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake_Magnitude,Vol,More Info,Deposits,Country,Location Name,Latitude,Longitude,Maximum_Water_Height,Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
,1900,9,10,21,30,,4,1,6.8,,,0,PAPUA NEW GUINEA,BISMARCK SEA,-4,152,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
,1900,9,17,21,45,,3,1,7.1,,,0,PAPUA NEW GUINEA,RABAUL HARBOR,-5,148,3,1,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,
,1900,10,7,21,4,,3,1,6.9,,,0,INDONESIA,BISMARCK SEA,-4,140,,4,,1,1.5,5,1,,,,,,1,1,1,,,5,1,,,,,,1,1,1,,
,1900,10,29,9,11,,3,1,7.7,,,0,VENEZUELA,MANCUTO,11,-66,10,5,,,,,,,,,,,1,,1,,,25,1,,,,,,3,,3,,3
,1901,3,3,7,45,,3,3,6.7,,,0,USA,"MONTEREY BAY, N. CALIFORNIA",36,-120.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1901,3,31,7,12,,1,1,7.2,,,0,BULGARIA,BLACK SEA,43.4,28.5,3,0,,,,,,,,,,,,,,,,4,1,,,50,1,,3,1200,4,,
,1901,6,15,,,,4,1,6,,,0,JAPAN,"IWATE, JAPAN",39,143,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1901,6,24,,,,4,1,7.5,,,0,JAPAN,RYUKYU ISLANDS,28,130.3,0.25,4,,-2.3,-1.5,,,,,,,,1,,,,,,,,,,,,1,,,,
,1901,8,9,9,23,30,4,1,7.2,,,0,JAPAN,OFF NORTHEAST COAST HONSHU,40.5,142.5,0.6,3,,0,-0.5,,,,,,,,,,,,,,,,,,,,2,,,,
,1901,8,9,13,1,,4,1,7.9,5064,,0,NEW CALEDONIA,LOYALTY ISLANDS,-22,170,1.2,10,,-0.7,,,1,,,,,,2,,,,,,1,,,,,,2,,,,
,1901,8,9,18,33,45,4,1,7.4,,,0,JAPAN,OFF NORTHEAST COAST HONSHU,40.6,142.3,0.25,2,,-1,-1,,,,,,,,,,,,,18,1,,,,,,2,8,1,,
,1901,8,9,20,0,,4,1,6.3,,,0,JAPAN,OFF NORTHEAST COAST HONSHU,40.5,142.5,0.02,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,
,1901,9,10,0,30,,2,1,7,,,0,PHILIPPINES,E. LUZON ISLAND,14,121.6,,1,,,0,,,,,,,,,,,,,,,,,,,,2,,,,2
,1901,10,8,2,16,,3,1,7,,,0,NICARAGUA,NICARAGUA,11,-86.5,1.5,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,1901,12,31,9,2,30,1,1,7.1,,,0,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",51.45,-171.02,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1902,1,18,23,23,,1,2,6.3,,,0,GUATEMALA,OCOSA,14.71,-91.59,,0,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
,1902,2,26,,,,3,1,7,,,0,EL SALVADOR,EL SALVADOR-GUATEMALA,13.5,-89.5,,4,,2.3,2,185,3,,,100,2,,3,,,,,185,3,,,100,2,,3,,,,
,1902,4,19,2,23,30,0,1,7.5,,,0,GUATEMALA,OCOS,14,-91,,0,,,,,,,,,,,,,,,,2000,4,,,,,,3,,,,
,1902,7,5,14,56,30,3,1,6.6,,,0,GREECE,AEGEAN SEA,40.75,23.25,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,1902,8,21,11,17,,1,1,7.3,,,0,PHILIPPINES,"ILLANA BAY, CELEBES SEA",7.5,123.5,,1,,,2,,,,,,,,,,,,,,3,,,,,,3,,3,,
,1903,3,30,,,,2,1,6.5,,,0,INDONESIA,BANDA SEA,-3,127.5,1,2,,-0.5,0,,,,,,,,,,,,,,,,,,,,,,,,
,1903,12,7,14,25,,3,1,6.5,,,0,CHILE,NORTHERN CHILE,-28.5,-71,,1,,,,,,,,,,,,,,,,,1,,,,,,2,,2,,
,1904,1,20,14,52,6,1,1,7.9,,,0,COLOMBIA,OFF THE COAST PANAMA-COLOMBIA,7,-79,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1904,6,25,14,45,36,4,1,8.3,,,0,RUSSIA,"KAMCHATKA PENINSULA, RUSSIA",52,159,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
,1904,6,25,21,0,36,3,1,8.1,,,0,RUSSIA,"KAMCHATKA PENINSULA, RUSSIA",52,159,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,1904,8,8,22,50,0,1,1,7.2,,,0,NEW ZEALAND,CAPE TURNAGAIN,-40.4,176.4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1904,12,20,5,44,18,2,1,7.2,,,0,PANAMA,BOCAS DEL TORO,9.2,-82.8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1905,1,20,2,32,30,2,1,6.3,,,0,GREECE,AEGEAN SEA,39.66,22.83,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1905,1,20,18,23,,2,1,6.8,,,0,COSTA RICA,GULF OF NICOYA,9.85,-84.68,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,1905,4,4,0,50,,0,1,7.8,,,0,INDIA,"KANGRA, INDIA",33,76,,1,,,,,,,,,,,,,,,,19000,4,,,,,,4,,,,
,1905,7,6,16,21,0,3,1,7,,,0,JAPAN,JAPAN:  OFF FUKUSHIMA,37.4,142.6,,1,,-1,,57,2,,,,,,,,,,,57,2,,,,,,,,,,
,1905,9,8,1,43,11,4,1,7.1,,,0,ITALY,TYRRHENIAN CALABRIA,38.67,16.07,1.3,0,,,4,,,,,,,,,,,,,557,3,,,2000,4,,4,6700,4,,
,1905,10,21,11,1,37,1,1,7.5,,,0,GEORGIA,CAUCASUS,42,42,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1905,11,8,22,6,11.8,3,3,7.2,,,0,GREECE,NORTH AEGEAN SEA,40.092,24.627,3,1,,,,5,1,,,,,,2,,,,,11,1,,,,,,2,,,,
,1905,12,8,8,22,,1,1,6.5,,,0,PHILIPPINES,W. LUZON ISLAND,11,123.5,,1,,-0.5,0,,,,,,,,,,,,,,,,,,,,1,,,,
,1906,1,31,15,35,51,4,1,8.8,,,0,ECUADOR,OFF COAST,1,-81.5,5,55,,1,3,1000,3,,,,,,3,,3,,,1000,3,,,,,,3,,3,,
,1906,4,18,13,12,0,4,3,7.9,,,0,USA,N. CALIFORNIA,37.7,-122.5,0.1,3,,-3.3,-4,,,,,,,,,,,,,,,,,,,,,,,,
,1906,8,17,0,40,,3,1,8.2,,,0,CHILE,CENTRAL CHILE,-33,-72,3.5,35,,1.8,2,,,,,,,,1,,,,,4000,4,,,,,100,4,,,,
,1906,9,14,16,4,18,4,1,8,,,0,PAPUA NEW GUINEA,SOLOMON SEA,-7,149,1.5,7,,0.6,1.5,,,,,,,,1,,,,,,2,,,,,,3,,3,,
,1906,10,2,1,50,,3,1,7.2,,,0,PAPUA NEW GUINEA,BISMARCK SEA,-4,149,1.2,2,,,1.5,,,,,,,,,,,,,,,,,,,,1,,,,
,1906,12,26,6,53,28,2,1,7.9,,,0,PERU,S. PERU,-18,-71,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
